flatland	false	#5096be	#9fd364	#b8dbef	#1d1f21	#5096be	#50504c	#50504c	#f18339	#f4ef6d	#695abc	#1d1f21	#2a2c2e	#232527
flexoki-dark	false	#4385be	#879a39	#cecdc3	#100f0f	#4385be	#575653	#575653	#d14d41	#d0a215	#ce5d97	#100f0f	#1e1d1d	#171616
flexoki-light	true	#205ea6	#66800b	#100f0f	#fffcf0	#205ea6	#b7b5ac	#b7b5ac	#af3029	#ad8301	#a02f6f	#fffcf0	#efece1	#f7f4e8
floraverse	false	#1d6da1	#5d731a	#dbd1b9	#0e0d15	#1d6da1	#4c3866	#4c3866	#7e1a46	#cd751c	#b7077e	#0e0d15	#1c1b23	#15141c
forest-blue	false	#8ed0ce	#92d3a2	#e2d8cd	#051519	#8ed0ce	#4a4a4a	#4a4a4a	#f8818e	#1a8e63	#5e468c	#051519	#142326	#0c1c1f
framer	false	#00aaff	#98ec65	#777777	#111111	#00aaff	#414141	#414141	#ff5555	#ffcc33	#aa88ff	#111111	#1f1f1f	#181818
front-end-delight	false	#2c70b7	#565747	#adadad	#1b1c1d	#2c70b7	#5fac6d	#5fac6d	#f8511b	#fa771d	#f02e4f	#1b1c1d	#28292a	#212223
fun-forrest	false	#4699a3	#919c00	#dec165	#251200	#4699a3	#7f6a55	#7f6a55	#d6262b	#be8a13	#8d4331	#251200	#32200f	#2b1907
galaxy	false	#589df6	#21b089	#ffffff	#1d2837	#589df6	#555555	#555555	#f9555f	#fef02a	#944d95	#1d2837	#2a3443	#232e3d
galizur	false	#2255cc	#33aa11	#ddeeff	#071317	#2255cc	#556677	#556677	#aa1122	#ccaa22	#7755aa	#071317	#152124	#0e1a1d
ghostty-default-style-dark	false	#82a2be	#b6bd68	#ffffff	#282c34	#82a2be	#666666	#666666	#cc6566	#f0c674	#b294bb	#282c34	#343840	#2e323a
github	true	#003e8a	#07962a	#3e3e3e	#f4f4f4	#003e8a	#666666	#666666	#970b16	#c5bb94	#e94691	#f4f4f4	#e5e5e5	#ececec
github-dark	false	#6ca4f8	#56d364	#8b949e	#101216	#6ca4f8	#4d4d4d	#4d4d4d	#f78166	#e3b341	#db61a2	#101216	#1e2023	#17191c
github-dark-colorblind	false	#58a6ff	#58a6ff	#c9d1d9	#0d1117	#58a6ff	#6e7681	#6e7681	#ec8e2c	#d29922	#bc8cff	#0d1117	#1b1f24	#14181d
github-dark-default	false	#58a6ff	#3fb950	#e6edf3	#0d1117	#58a6ff	#6e7681	#6e7681	#ff7b72	#d29922	#bc8cff	#0d1117	#1b1f24	#14181d
github-dark-dimmed	false	#539bf5	#57ab5a	#adbac7	#22272e	#539bf5	#636e7b	#636e7b	#f47067	#c69026	#b083f0	#22272e	#2f333a	#282d34
github-dark-high-contrast	false	#71b7ff	#26cd4d	#f0f3f6	#0a0c10	#71b7ff	#9ea7b3	#9ea7b3	#ff9492	#f0b72f	#cb9eff	#0a0c10	#181a1e	#111317
github-light-colorblind	true	#0969da	#0550ae	#24292f	#ffffff	#0969da	#57606a	#57606a	#b35900	#4d2d00	#8250df	#ffffff	#efefef	#f7f7f7
github-light-default	true	#0969da	#116329	#1f2328	#ffffff	#0969da	#57606a	#57606a	#cf222e	#4d2d00	#8250df	#ffffff	#efefef	#f7f7f7
github-light-high-contrast	true	#0349b4	#024c1a	#0e1116	#ffffff	#0349b4	#4b535d	#4b535d	#a0111f	#3f2200	#622cbc	#ffffff	#efefef	#f7f7f7
gitlab-dark	false	#7fb6ed	#52b87a	#ffffff	#28262b	#7fb6ed	#666666	#666666	#f57f6c	#d99530	#f88aaf	#28262b	#343337	#2e2c31
gitlab-dark-grey	false	#7fb6ed	#52b87a	#ffffff	#222222	#7fb6ed	#666666	#666666	#f57f6c	#d99530	#f88aaf	#222222	#2f2f2f	#282828
gitlab-light	true	#006cd8	#0a7f3d	#303030	#fafaff	#006cd8	#c7c7cb	#303030	#a31700	#af551d	#583cac	#fafaff	#ebebef	#f2f2f7
